id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Echo Chamber,Velvet Circuit,synthwave,moody,0.68,108,0.38,0.76,0.14
12,Golden Hour Walk,Sunray Trio,indie pop,happy,0.71,116,0.85,0.77,0.42
13,Steel and Rain,Iron Hollow,metal,intense,0.95,168,0.22,0.41,0.06
14,Candlelight Sonata,Clara Voss,classical,relaxed,0.22,72,0.74,0.28,0.94
15,Bounce Back,King Vertex,hip-hop,happy,0.77,96,0.82,0.86,0.12
16,Winding River,Hollow Oak,folk,chill,0.31,88,0.68,0.44,0.88
17,Frequency Drop,Bass Unit,edm,excited,0.90,138,0.72,0.91,0.04
18,Slow Burn Blues,Eli Marsh,blues,sad,0.38,76,0.26,0.49,0.82
19,Velvet Touch,Satin Groove,r&b,romantic,0.52,84,0.76,0.72,0.38
20,Late Night Thought,LoRoom,lofi,focused,0.38,82,0.54,0.56,0.76
21,Solar Flare,Neon Echo,pop,excited,0.88,128,0.88,0.84,0.08
22,Autumn Leaves Falling,Paper Lanterns,indie pop,nostalgic,0.44,92,0.62,0.55,0.58
23,Machine Heart,Orbit Bloom,electronic,moody,0.72,122,0.35,0.78,0.09
24,Delta Blues,Eli Marsh,blues,sad,0.32,70,0.22,0.38,0.91
25,Gravel Road,Dusty Trail,country,nostalgic,0.48,94,0.65,0.52,0.78
26,Neon Jungle,Bass Unit,edm,intense,0.94,142,0.58,0.88,0.03
27,Soul Kitchen,Harmony Jones,soul,happy,0.72,104,0.84,0.79,0.31
28,Jazz Nocturne,Slow Stereo,jazz,relaxed,0.33,88,0.67,0.52,0.83
29,Shattered Glass,Iron Hollow,rock,intense,0.88,148,0.42,0.62,0.12
30,Pixel Dreams,LoRoom,lofi,chill,0.33,76,0.58,0.54,0.79
31,Heatwave,Max Pulse,pop,excited,0.91,130,0.86,0.87,0.06
32,Tender Moment,Satin Groove,r&b,romantic,0.45,80,0.79,0.68,0.44
33,Morning Mist,Clara Voss,classical,relaxed,0.18,66,0.72,0.25,0.96
34,Crown Jewel,King Vertex,hip-hop,intense,0.81,100,0.63,0.84,0.08
35,Firewatch,Voltline,rock,moody,0.74,132,0.40,0.58,0.18
36,Summer Porch,Dusty Trail,country,happy,0.55,100,0.79,0.60,0.72
37,Deep Space Nine,Orbit Bloom,ambient,focused,0.24,58,0.58,0.38,0.88
38,Club Lights,Neon Echo,synthwave,excited,0.84,118,0.74,0.82,0.11
39,Hollow Mountain,Hollow Oak,folk,sad,0.26,82,0.24,0.36,0.91
40,Good Vibes Only,Indigo Parade,indie pop,happy,0.74,122,0.88,0.80,0.28
41,Turntable Gospel,Harmony Jones,soul,happy,0.66,108,0.82,0.74,0.26
42,Digital Rain,Bass Unit,electronic,focused,0.62,114,0.44,0.72,0.07
43,Thunder Road,Iron Hollow,metal,intense,0.97,172,0.28,0.44,0.04
44,Heartstring,Satin Groove,r&b,romantic,0.48,82,0.81,0.70,0.41
45,Midnight Delta,Eli Marsh,blues,moody,0.42,74,0.32,0.45,0.86
46,Rise Up,Max Pulse,pop,happy,0.84,126,0.88,0.85,0.09
47,Rainy Season,Paper Lanterns,lofi,sad,0.31,74,0.38,0.48,0.83
48,Footsteps in Snow,Clara Voss,classical,chill,0.20,68,0.70,0.32,0.95
49,Backyard Jam,Hollow Oak,folk,happy,0.45,96,0.76,0.58,0.84
50,City Pulse,King Vertex,hip-hop,moody,0.68,92,0.36,0.80,0.14
51,Overdrive,Voltline,rock,intense,0.93,156,0.44,0.64,0.08
52,Stardust Carousel,Indigo Parade,indie pop,nostalgic,0.58,106,0.72,0.66,0.44
53,Pulse Rider,Bass Unit,edm,excited,0.92,140,0.76,0.92,0.03
54,Quiet Storm,LoRoom,lofi,chill,0.36,78,0.55,0.52,0.80
55,Honky Tonk Highway,Dusty Trail,country,happy,0.60,108,0.82,0.65,0.74
56,Ivory Keys,Slow Stereo,jazz,relaxed,0.36,92,0.68,0.50,0.86
57,Gravity Pull,Orbit Bloom,ambient,chill,0.22,62,0.60,0.36,0.90
58,Frequency Surge,Velvet Circuit,synthwave,intense,0.86,124,0.52,0.80,0.10
59,Smooth Operator,Satin Groove,r&b,relaxed,0.50,86,0.74,0.69,0.36
60,Midnight Rave,Bass Unit,edm,moody,0.82,132,0.38,0.88,0.05
61,Running Free,Max Pulse,pop,intense,0.90,134,0.76,0.86,0.07
62,Broken Strings,Eli Marsh,blues,sad,0.35,72,0.20,0.42,0.88
63,Harvest Moon,Dusty Trail,country,nostalgic,0.44,90,0.68,0.54,0.80
64,Signal Lost,Orbit Bloom,electronic,moody,0.65,110,0.30,0.70,0.11
65,Euphoria Loop,Neon Echo,pop,happy,0.85,122,0.90,0.82,0.10
66,Ember Glow,Paper Lanterns,lofi,romantic,0.34,76,0.64,0.50,0.82
67,Soul Surge,Harmony Jones,soul,excited,0.76,112,0.86,0.80,0.22
68,Obsidian,Iron Hollow,metal,intense,0.96,176,0.24,0.38,0.05
69,Blue Note Cafe,Slow Stereo,jazz,chill,0.40,94,0.66,0.58,0.80
70,Forest Path,Hollow Oak,folk,chill,0.28,84,0.70,0.46,0.90
71,Street Philosopher,King Vertex,hip-hop,focused,0.64,94,0.54,0.78,0.16
72,Pastel Sky,Indigo Parade,indie pop,happy,0.68,118,0.84,0.76,0.32
73,After Hours,Velvet Circuit,synthwave,moody,0.70,112,0.36,0.74,0.12
74,Piano Reverie,Clara Voss,classical,relaxed,0.24,70,0.76,0.30,0.93
